task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
43	e6/0cdf19	12614568	BIgMAGFlow:CONCAT_DFS (nf_core_mag)	COMPLETED	0	2024-04-11 17:42:21.511	9.9s	3s	44.8%	57.6 MB	109.7 MB	24 MB	4.8 KB
42	1a/229a01	12614569	BIgMAGFlow:CONCAT_DFS (ATLAS)	COMPLETED	0	2024-04-11 17:42:21.529	9.9s	2s	71.6%	72.7 MB	126.7 MB	24 MB	9.2 KB
44	5c/c9789c	12614570	BIgMAGFlow:CONCAT_DFS (SnakeMAGs)	COMPLETED	0	2024-04-11 17:42:21.547	9.9s	2s	63.9%	57.7 MB	109.7 MB	24 MB	4.6 KB
45	3b/9ac10a	12614571	BIgMAGFlow:CONCAT_DFS (DATMA)	COMPLETED	0	2024-04-11 17:42:21.563	9.9s	4s	35.7%	72.6 MB	126.2 MB	24 MB	5.9 KB
46	e1/3dbe53	12614572	BIgMAGFlow:CONCAT_DFS (MetaWRAP)	COMPLETED	0	2024-04-11 17:42:21.583	9.9s	2s	70.8%	72.4 MB	126.6 MB	24 MB	5.4 KB
47	1c/6b5db5	12614573	BIgMAGFlow:FINAL_DF (final_df)	COMPLETED	0	2024-04-11 17:42:31.575	9.8s	6s	63.2%	77.3 MB	134.7 MB	47.9 MB	23.9 KB
50	f7/85d8a6	12614574	BIgMAGFlow:REMOVE_TMP (SnakeMAGs)	COMPLETED	0	2024-04-11 17:42:41.472	5s	62ms	21.5%	3.1 MB	217.4 MB	56.7 KB	313 B
49	1e/7d3d7c	12614575	BIgMAGFlow:REMOVE_TMP (nf_core_mag)	COMPLETED	0	2024-04-11 17:42:41.489	5s	51ms	30.9%	3 MB	217.4 MB	56.7 KB	313 B
52	2d/654f6a	12614576	BIgMAGFlow:REMOVE_TMP (MetaWRAP)	COMPLETED	0	2024-04-11 17:42:41.504	5s	49ms	32.0%	3 MB	217.4 MB	56.7 KB	313 B
48	30/6e5a9a	12614577	BIgMAGFlow:REMOVE_TMP (ATLAS)	COMPLETED	0	2024-04-11 17:42:41.519	5s	53ms	30.6%	3 MB	217.4 MB	56.7 KB	313 B
51	c2/2de643	12614578	BIgMAGFlow:REMOVE_TMP (DATMA)	COMPLETED	0	2024-04-11 17:42:41.535	9.9s	52ms	31.3%	3 MB	217.4 MB	56.7 KB	313 B
